ticker,cutoff_utc,cutoff_label,cutoff_local,trade_ts_utc,price,source_trade_ts_local
FED-25MAY-T4.00,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-17 11:35:14.155853+00:00,0.93,2025-03-17 04:35:14.155853-07:00
FED-25MAY-T4.25,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-17 11:50:00.953808+00:00,0.69,2025-03-17 04:50:00.953808-07:00
GOVPARTYNJ-25-D,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-16 20:03:23.255812+00:00,0.71,2025-03-16 13:03:23.255812-07:00
GOVPARTYNJ-25-R,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-16 10:57:42.568764+00:00,0.28,2025-03-16 03:57:42.568764-07:00
GOVPARTYVA-25-R,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-16 09:35:59.137359+00:00,0.15,2025-03-16 02:35:59.137359-07:00
KXBTCMAX150-25-DEC31-149999.99,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-17 09:19:44.276243+00:00,0.27,2025-03-17 02:19:44.276243-07:00
KXBTCMAXY-25-DEC31-124999.99,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-17 10:38:40.549955+00:00,0.44,2025-03-17 03:38:40.549955-07:00
KXBTCMAXY-25-DEC31-149999.99,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-17 08:47:13.621228+00:00,0.25,2025-03-17 01:47:13.621228-07:00
KXBTCRESERVE-26-JAN01,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-17 10:12:26.249668+00:00,0.5,2025-03-17 03:12:26.249668-07:00
KXCANADAPM-45-C,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-17 11:52:42.463387+00:00,0.53,2025-03-17 04:52:42.463387-07:00
KXCANADAPM-45-L,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-17 10:00:16.422980+00:00,0.48,2025-03-17 03:00:16.422980-07:00
KXCPIYOY-25APR-T2.4,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,,,
KXCPIYOY-25APR-T2.5,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-16 14:34:11.989061+00:00,0.43,2025-03-16 07:34:11.989061-07:00
KXDOED-26-JAN01,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-17 11:48:12.690100+00:00,0.22,2025-03-17 04:48:12.690100-07:00
KXEPSTEIN-25,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-17 11:47:33.729852+00:00,0.35,2025-03-17 04:47:33.729852-07:00
KXETHMAXY-25DEC31-4999.99,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-17 10:19:10.155017+00:00,0.14,2025-03-17 03:19:10.155017-07:00
KXFEDDECISION-25MAY-C25,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,,,
KXFEDDECISION-25MAY-C26,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,,,
KXFEDDECISION-25MAY-H0,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,,,
KXFOMENSINGLES-25-CA,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-16 08:33:50.869109+00:00,0.46,2025-03-16 01:33:50.869109-07:00
KXFOMENSINGLES-25-JS,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-14 14:56:10.964427+00:00,0.25,2025-03-14 07:56:10.964427-07:00
KXFOMENSINGLES-25-ND,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-08 17:49:54.374770+00:00,0.12,2025-03-08 09:49:54.374770-08:00
KXFOWOMENSINGLES-25-AS,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-16 14:44:33.217579+00:00,0.14,2025-03-16 07:44:33.217579-07:00
KXFOWOMENSINGLES-25-CG,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-02-10 18:42:35.041176+00:00,0.08,2025-02-10 10:42:35.041176-08:00
KXLEAGUEWORLDS-25-T1,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-16 11:04:05.527000+00:00,0.26,2025-03-16 04:04:05.527000-07:00
KXLLM1-25DEC31-XAI,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-15 23:31:01.915169+00:00,0.34,2025-03-15 16:31:01.915169-07:00
KXMARMAD-25-AU,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-17 11:52:10.354226+00:00,0.16,2025-03-17 04:52:10.354226-07:00
KXMARMAD-25-DU,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-17 11:59:18.525630+00:00,0.21,2025-03-17 04:59:18.525630-07:00
KXMARMAD-25-FL,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-17 11:56:25.330809+00:00,0.19,2025-03-17 04:56:25.330809-07:00
KXMARMAD-25-HOU,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-17 11:51:53.332536+00:00,0.13,2025-03-17 04:51:53.332536-07:00
KXMASTERS-25-BD,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-17 09:53:29.269240+00:00,0.05,2025-03-17 02:53:29.269240-07:00
KXMASTERS-25-CM,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-16 19:29:51.123858+00:00,0.06,2025-03-16 12:29:51.123858-07:00
