ticker,event_ticker,market_type,title,yes_sub_title,no_sub_title,status,yes_bid,yes_ask,no_bid,no_ask,last_price,volume,volume_24h,open_interest,result,created_time,open_time,close_time,_fetched_at,created_ts,close_ts,search_text,yes_2025_03_17_close_1700_PT,yes_2025_03_17_open_0500_PT,yes_2025_03_18_close_1700_PT,yes_2025_03_18_open_0500_PT,yes_2025_03_19_close_1700_PT,yes_2025_03_19_open_0500_PT,yes_2025_03_20_close_1700_PT,yes_2025_03_20_open_0500_PT,yes_2025_03_21_close_1700_PT,yes_2025_03_21_open_0500_PT,yes_2025_03_22_close_1700_PT,yes_2025_03_22_open_0500_PT,yes_2025_03_23_close_1700_PT,yes_2025_03_23_open_0500_PT,yes_2025_03_24_close_1700_PT,yes_2025_03_24_open_0500_PT,yes_2025_03_25_close_1700_PT,yes_2025_03_25_open_0500_PT,yes_2025_03_26_close_1700_PT,yes_2025_03_26_open_0500_PT,yes_2025_03_27_close_1700_PT,yes_2025_03_27_open_0500_PT,yes_2025_03_28_close_1700_PT,yes_2025_03_28_open_0500_PT,yes_2025_03_29_close_1700_PT,yes_2025_03_29_open_0500_PT,yes_2025_03_30_close_1700_PT,yes_2025_03_30_open_0500_PT,yes_2025_03_31_close_1700_PT,yes_2025_03_31_open_0500_PT
KXMOONMAN-31-R,KXMOONMAN-31,binary,Which country will be the next to send humans to the Moon?,Russia,Russia,active,0,6,94,100,6,1494,0,1392,,2024-11-27 15:38:20.969040-08:00,2024-11-28 07:00:00-08:00,2031-01-01 07:00:00-08:00,2025-11-24 01:59:11.706998,2024-11-27 15:38:20.969040,2031-01-01 07:00:00.000000,which country will be the next to send humans to the moon? kxmoonman-31-r kxmoonman-31 russia russia,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01
KXFRIDMAN-26JAN01-VP,KXFRIDMAN-26JAN01,binary,"Will Vladimir Putin go on the Lex Fridman Podcast before Jan 1, 2026?",Vladimir Putin,Vladimir Putin,active,2,7,93,98,2,8995,0,1731,,2024-12-02 21:23:56.926902-08:00,2024-12-03 07:00:00-08:00,2026-01-01 07:00:00-08:00,2025-11-24 01:58:23.795536,2024-12-02 21:23:56.926902,2026-01-01 07:00:00.000000,"will vladimir putin go on the lex fridman podcast before jan 1, 2026? kxfridman-26jan01-vp kxfridman-26jan01 vladimir putin vladimir putin",0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.71,0.4,0.71,0.71,0.71,0.71,0.27,0.31,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
KXMARALAGO-26-VZ,KXMARALAGO-26,binary,"Will Volodymyr Zelenskyy be reported to visit Mar-a-Lago before Jan 1, 2026?",Volodymyr Zelenskyy,Volodymyr Zelenskyy,active,5,7,93,95,7,6576,0,1141,,2024-12-04 14:02:04.433022-08:00,2024-12-04 14:15:37-08:00,2026-01-01 07:00:00-08:00,2025-11-24 01:57:53.828893,2024-12-04 14:02:04.433022,2026-01-01 07:00:00.000000,"will volodymyr zelenskyy be reported to visit mar-a-lago before jan 1, 2026? kxmaralago-26-vz kxmaralago-26 volodymyr zelenskyy volodymyr zelenskyy",0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.12,0.2,0.12,0.12,0.12,0.12,0.12,0.12
KXPRESVISIT-26-UKR,KXPRESVISIT-26,binary,Will Trump visit Ukraine in the first year?,Ukraine,Ukraine,active,3,4,96,96,4,23975,263,5041,,2024-12-17 10:23:47.012875-08:00,2024-12-18 07:00:00-08:00,2026-01-01 07:00:00-08:00,2025-11-24 01:53:58.055341,2024-12-17 10:23:47.012875,2026-01-01 07:00:00.000000,will trump visit ukraine in the first year? kxpresvisit-26-ukr kxpresvisit-26 ukraine ukraine,0.18,0.22,0.22,0.22,0.21,0.18,0.18,0.21,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.18,0.17,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
KXPRESVISIT-26-RU,KXPRESVISIT-26,binary,Will Trump visit Russia in the first year?,Russia,Russia,active,4,4,95,95,3,203808,0,29455,,2024-12-17 10:23:47.012876-08:00,2024-12-18 07:00:00-08:00,2026-01-01 07:00:00-08:00,2025-11-24 01:53:58.055341,2024-12-17 10:23:47.012876,2026-01-01 07:00:00.000000,will trump visit russia in the first year? kxpresvisit-26-ru kxpresvisit-26 russia russia,0.4,0.32,0.33,0.4,0.32,0.33,0.33,0.32,0.32,0.33,0.33,0.33,0.32,0.33,0.32,0.32,0.33,0.33,0.33,0.33,0.3,0.32,0.33,0.3,0.29,0.33,0.3,0.29,0.31,0.3
KXWLEADER-25-VP,KXWLEADER-25,binary,Will Trump meet with Vladimir Putin before 2026?,Vladimir Putin,Vladimir Putin,finalized,0,100,0,100,99,284943,0,105155,yes,2025-01-03 15:46:35.854834-08:00,2025-01-04 07:00:00-08:00,2025-08-15 12:19:58.491357-07:00,2025-11-24 01:39:56.606503,2025-01-03 15:46:35.854834,2025-08-15 12:19:58.491357,will trump meet with vladimir putin before 2026? kxwleader-25-vp kxwleader-25 vladimir putin vladimir putin,0.88,0.88,0.91,0.91,0.84,0.84,0.84,0.84,0.86,0.86,0.86,0.86,0.82,0.8,0.81,0.81,0.77,0.79,0.76,0.77,0.81,0.81,0.84,0.81,0.84,0.84,0.75,0.75,0.83,0.75
KXNOBELPEACE-25-VZEL,KXNOBELPEACE-25,binary,Who will win the Nobel Peace Prize?,Volodymyr Zelenskyy,Volodymyr Zelenskyy,finalized,0,100,0,100,1,103929,0,50067,no,2025-02-25 07:44:01.250653-08:00,2025-02-25 07:45:31-08:00,2025-10-10 04:59:46.024250-07:00,2025-11-24 01:06:17.715291,2025-02-25 07:44:01.250653,2025-10-10 04:59:46.024250,who will win the nobel peace prize? kxnobelpeace-25-vzel kxnobelpeace-25 volodymyr zelenskyy volodymyr zelenskyy,0.16,0.16,0.16,0.16,0.16,0.16,0.18,0.16,0.18,0.18,0.18,0.18,0.19,0.19,0.18,0.19,0.18,0.18,0.16,0.18,0.16,0.16,0.19,0.16,0.2,0.16,0.16,0.2,0.19,0.16
KXSECSTATEVISIT-26-RUS,KXSECSTATEVISIT-26,binary,Will the Secretary of State visit Russia before 2026?,Russia,Russia,active,6,7,93,94,6,8172,0,4688,,2025-02-25 13:32:22.730495-08:00,2025-02-26 07:00:00-08:00,2026-01-01 07:00:00-08:00,2025-11-24 01:06:16.564611,2025-02-25 13:32:22.730495,2026-01-01 07:00:00.000000,will the secretary of state visit russia before 2026? kxsecstatevisit-26-rus kxsecstatevisit-26 russia russia,0.66,0.66,0.66,0.66,0.66,0.66,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71
KXELECTUKRAINE-26,KXELECTUKRAINE-26,binary,Will Ukraine hold a presidential election before 2026?,Before 2026,Before 2026,active,1,2,98,99,2,111438,24,17609,,2025-03-05 08:30:49.987302-08:00,2025-03-05 09:00:00-08:00,2026-01-01 07:00:00-08:00,2025-11-24 00:59:09.810999,2025-03-05 08:30:49.987302,2026-01-01 07:00:00.000000,will ukraine hold a presidential election before 2026? kxelectukraine-26 kxelectukraine-26 before 2026 before 2026,0.46,0.43,0.48,0.48,0.44,0.48,0.43,0.43,0.42,0.43,0.42,0.42,0.43,0.44,0.44,0.43,0.45,0.44,0.42,0.45,0.41,0.45,0.38,0.38,0.42,0.42,0.38,0.38,0.4,0.38
KXUKRAINERESIGN-26,KXUKRAINERESIGN-26,binary,"Will Volodymyr Zelenskyy resign before Jan 1, 2026?",Before 2026,Before 2026,active,4,6,94,96,3,200256,572,47557,,2025-03-05 08:31:39.586364-08:00,2025-03-05 09:00:00-08:00,2026-01-01 07:00:00-08:00,2025-11-24 00:59:09.810999,2025-03-05 08:31:39.586364,2026-01-01 07:00:00.000000,"will volodymyr zelenskyy resign before jan 1, 2026? kxukraineresign-26 kxukraineresign-26 before 2026 before 2026",0.24,0.23,0.22,0.24,0.24,0.21,0.24,0.24,0.24,0.24,0.21,0.24,0.24,0.21,0.23,0.23,0.25,0.23,0.24,0.24,0.24,0.2,0.21,0.24,0.23,0.22,0.23,0.18,0.23,0.23
