ticker,cutoff_utc,cutoff_label,cutoff_local,trade_ts_utc,price
KXELECTUKRAINE-26,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-17 09:17:09.691482+00:00,0.43
KXFRIDMAN-26JAN01-VP,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-14 05:37:00.226106+00:00,0.4
KXMARALAGO-26-VZ,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-08 10:35:32.381174+00:00,0.21
KXMOONMAN-31-R,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2024-12-01 07:12:28.152982+00:00,0.1
KXNOBELPEACE-25-VZEL,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-17 09:33:41.337778+00:00,0.16
KXPRESVISIT-26-RU,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-16 12:44:11.315077+00:00,0.32
KXPRESVISIT-26-UKR,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-16 12:39:18.497108+00:00,0.22
KXSECSTATEVISIT-26-RUS,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-15 15:31:21.772688+00:00,0.66
KXUKRAINERESIGN-26,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-17 11:26:13.354218+00:00,0.23
KXUKRIMPEACH-26,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-16 19:59:54.669816+00:00,0.11
KXWLEADER-25-VP,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-17 11:46:43.628562+00:00,0.88
KXELECTUKRAINE-26,2025-03-18 00:00:00+00:00,2025_03_17_close_1700_PT,2025-03-17 17:00:00-07:00,2025-03-17 20:18:35.640338+00:00,0.46
KXFRIDMAN-26JAN01-VP,2025-03-18 00:00:00+00:00,2025_03_17_close_1700_PT,2025-03-17 17:00:00-07:00,2025-03-14 05:37:00.226106+00:00,0.4
KXMARALAGO-26-VZ,2025-03-18 00:00:00+00:00,2025_03_17_close_1700_PT,2025-03-17 17:00:00-07:00,2025-03-08 10:35:32.381174+00:00,0.21
KXMOONMAN-31-R,2025-03-18 00:00:00+00:00,2025_03_17_close_1700_PT,2025-03-17 17:00:00-07:00,2024-12-01 07:12:28.152982+00:00,0.1
KXNOBELPEACE-25-VZEL,2025-03-18 00:00:00+00:00,2025_03_17_close_1700_PT,2025-03-17 17:00:00-07:00,2025-03-17 09:33:41.337778+00:00,0.16
KXPRESVISIT-26-RU,2025-03-18 00:00:00+00:00,2025_03_17_close_1700_PT,2025-03-17 17:00:00-07:00,2025-03-17 19:32:03.602118+00:00,0.4
KXPRESVISIT-26-UKR,2025-03-18 00:00:00+00:00,2025_03_17_close_1700_PT,2025-03-17 17:00:00-07:00,2025-03-17 15:15:58.487258+00:00,0.18
KXSECSTATEVISIT-26-RUS,2025-03-18 00:00:00+00:00,2025_03_17_close_1700_PT,2025-03-17 17:00:00-07:00,2025-03-15 15:31:21.772688+00:00,0.66
KXUKRAINERESIGN-26,2025-03-18 00:00:00+00:00,2025_03_17_close_1700_PT,2025-03-17 17:00:00-07:00,2025-03-17 21:42:52.540688+00:00,0.24
KXUKRIMPEACH-26,2025-03-18 00:00:00+00:00,2025_03_17_close_1700_PT,2025-03-17 17:00:00-07:00,2025-03-17 17:27:59.028756+00:00,0.11
KXWLEADER-25-VP,2025-03-18 00:00:00+00:00,2025_03_17_close_1700_PT,2025-03-17 17:00:00-07:00,2025-03-17 23:12:17.211500+00:00,0.88
KXELECTUKRAINE-26,2025-03-18 12:00:00+00:00,2025_03_18_open_0500_PT,2025-03-18 05:00:00-07:00,2025-03-18 08:41:40.339708+00:00,0.48
KXFRIDMAN-26JAN01-VP,2025-03-18 12:00:00+00:00,2025_03_18_open_0500_PT,2025-03-18 05:00:00-07:00,2025-03-14 05:37:00.226106+00:00,0.4
KXMARALAGO-26-VZ,2025-03-18 12:00:00+00:00,2025_03_18_open_0500_PT,2025-03-18 05:00:00-07:00,2025-03-08 10:35:32.381174+00:00,0.21
KXMOONMAN-31-R,2025-03-18 12:00:00+00:00,2025_03_18_open_0500_PT,2025-03-18 05:00:00-07:00,2024-12-01 07:12:28.152982+00:00,0.1
KXNOBELPEACE-25-VZEL,2025-03-18 12:00:00+00:00,2025_03_18_open_0500_PT,2025-03-18 05:00:00-07:00,2025-03-17 09:33:41.337778+00:00,0.16
KXPRESVISIT-26-RU,2025-03-18 12:00:00+00:00,2025_03_18_open_0500_PT,2025-03-18 05:00:00-07:00,2025-03-18 10:11:55.628466+00:00,0.4
KXPRESVISIT-26-UKR,2025-03-18 12:00:00+00:00,2025_03_18_open_0500_PT,2025-03-18 05:00:00-07:00,2025-03-18 11:26:15.682733+00:00,0.22
KXSECSTATEVISIT-26-RUS,2025-03-18 12:00:00+00:00,2025_03_18_open_0500_PT,2025-03-18 05:00:00-07:00,2025-03-15 15:31:21.772688+00:00,0.66
KXUKRAINERESIGN-26,2025-03-18 12:00:00+00:00,2025_03_18_open_0500_PT,2025-03-18 05:00:00-07:00,2025-03-18 10:16:05.809490+00:00,0.24
KXUKRIMPEACH-26,2025-03-18 12:00:00+00:00,2025_03_18_open_0500_PT,2025-03-18 05:00:00-07:00,2025-03-18 08:32:46.450636+00:00,0.11
KXWLEADER-25-VP,2025-03-18 12:00:00+00:00,2025_03_18_open_0500_PT,2025-03-18 05:00:00-07:00,2025-03-18 06:58:51.509256+00:00,0.91
KXELECTUKRAINE-26,2025-03-19 00:00:00+00:00,2025_03_18_close_1700_PT,2025-03-18 17:00:00-07:00,2025-03-18 08:41:40.339708+00:00,0.48
KXFRIDMAN-26JAN01-VP,2025-03-19 00:00:00+00:00,2025_03_18_close_1700_PT,2025-03-18 17:00:00-07:00,2025-03-14 05:37:00.226106+00:00,0.4
