pm_id,pm_question,k_ticker,k_title,k_yes_subtitle,k_no_subtitle,embedding_similarity,match_type,slug,method
536502,Will Trump meet with Vladimir Putin in 2025?,KXWLEADER-25-VP,Will Trump meet with Vladimir Putin before 2026?,Vladimir Putin,Vladimir Putin,0.941,HIGH_CONFIDENCE,zelensky_suit,EMBEDDING
546096,Will Pope Leo XIV meet with Vladimir Putin in 2025?,KXLEADERMEETPOPE-26-VPUT,Who will Pope Leo XIV meet with before 2026?,Vladimir Putin,Vladimir Putin,0.939,HIGH_CONFIDENCE,zelensky_suit,EMBEDDING
524147,Will Trump meet with Volodymyr Zelenskyy in 2025?,KXWLEADERUKR-25MAR-VZEL,Will Trump meet with Volodomyr Zelenskyy before 2025?,Volodomyr Zelenskyy,Volodomyr Zelenskyy,0.922,HIGH_CONFIDENCE,mineral_rights,EMBEDDING
550708,Will Ukraine qualify for the 2026 FIFA World Cup?,KXMENWORLDCUP-26-UA,Will the Ukraine win the 2026 Men's World Cup?,Ukraine,Ukraine,0.882,HIGH_CONFIDENCE,zelensky_suit,EMBEDDING
524291,Will Trump visit Russia before July?,KXPRESVISIT-26-RU,Will Trump visit Russia in the first year?,Russia,Russia,0.881,HIGH_CONFIDENCE,mineral_rights,EMBEDDING
523197,Will Trump visit Russia in first 100 days?,KXPRESVISIT-26-RU,Will Trump visit Russia in the first year?,Russia,Russia,0.874,HIGH_CONFIDENCE,mineral_rights,EMBEDDING
525157,Zelensky resigns in 2025?,KXUKRAINERESIGN-26,"Will Volodymyr Zelenskyy resign before Jan 1, 2026?",Before 2026,Before 2026,0.871,HIGH_CONFIDENCE,mineral_rights,EMBEDDING
525157,Zelensky resigns in 2025?,KXUKRAINERESIGN-26,"Will Volodymyr Zelenskyy resign before Jan 1, 2026?",Before 2026,Before 2026,0.871,HIGH_CONFIDENCE,zelensky_suit,EMBEDDING
518890,Will Donald Trump visit Ukraine in 2025?,KXPRESVISIT-26-UKR,Will Trump visit Ukraine in the first year?,Ukraine,Ukraine,0.865,HIGH_CONFIDENCE,mineral_rights,EMBEDDING
518890,Will Donald Trump visit Ukraine in 2025?,KXPRESVISIT-26-UKR,Will Trump visit Ukraine in the first year?,Ukraine,Ukraine,0.865,HIGH_CONFIDENCE,zelensky_suit,EMBEDDING
543206,Will Pope Leo visit Ukraine first?,KXPOPEVISITNEXT-26-UA,Which country will the Pope visit next?,Ukraine,Ukraine,0.849,HIGH_CONFIDENCE,zelensky_suit,EMBEDDING
518889,Will Donald Trump visit Russia in 2025?,KXPRESVISIT-26-RU,Will Trump visit Russia in the first year?,Russia,Russia,0.846,HIGH_CONFIDENCE,mineral_rights,EMBEDDING
518889,Will Donald Trump visit Russia in 2025?,KXPRESVISIT-26-RU,Will Trump visit Russia in the first year?,Russia,Russia,0.846,HIGH_CONFIDENCE,zelensky_suit,EMBEDDING
519844,Will Trump meet with Volodymyr Zelenskyy in his first 100 days?,KXWLEADERUKR-25MAR-VZEL,Will Trump meet with Volodomyr Zelenskyy before 2025?,Volodomyr Zelenskyy,Volodomyr Zelenskyy,0.841,HIGH_CONFIDENCE,mineral_rights,EMBEDDING
524145,Will Trump meet with Zelenskyy before July?,KXWLEADERUKR-25MAR-VZEL,Will Trump meet with Volodomyr Zelenskyy before 2025?,Volodomyr Zelenskyy,Volodomyr Zelenskyy,0.838,HIGH_CONFIDENCE,mineral_rights,EMBEDDING
516143,Will Putin meet with Trump in first 100 days?,KXWLEADER-25-VP,Will Trump meet with Vladimir Putin before 2026?,Vladimir Putin,Vladimir Putin,0.83,HIGH_CONFIDENCE,mineral_rights,EMBEDDING
523343,Ukraine election called in 2025?,KXELECTUKRAINE-26,Will Ukraine hold a presidential election before 2026?,Before 2026,Before 2026,0.828,HIGH_CONFIDENCE,mineral_rights,EMBEDDING
523343,Ukraine election called in 2025?,KXELECTUKRAINE-26,Will Ukraine hold a presidential election before 2026?,Before 2026,Before 2026,0.828,HIGH_CONFIDENCE,zelensky_suit,EMBEDDING
519048,Zelenskyy out as Ukraine president before July?,KXUKRIMPEACH-26,Will Zelenskyy be removed from office by the Ukrainian parliamenent before 2026?,Before 2026,Before 2026,0.822,HIGH_CONFIDENCE,mineral_rights,EMBEDDING
527793,Will Volodymyr Zelenskyy be the first leader out in 2025?,KXUKRAINERESIGN-26,"Will Volodymyr Zelenskyy resign before Jan 1, 2026?",Before 2026,Before 2026,0.808,HIGH_CONFIDENCE,mineral_rights,EMBEDDING
527793,Will Volodymyr Zelenskyy be the first leader out in 2025?,KXUKRAINERESIGN-26,"Will Volodymyr Zelenskyy resign before Jan 1, 2026?",Before 2026,Before 2026,0.808,HIGH_CONFIDENCE,zelensky_suit,EMBEDDING
