ticker,cutoff_utc,cutoff_label,cutoff_local,trade_ts_utc,price,source_trade_ts_local
KXELECTUKRAINE-26,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-17 09:17:09.691482+00:00,0.43,2025-03-17 02:17:09.691482-07:00
KXFRIDMAN-26JAN01-VP,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-14 05:37:00.226106+00:00,0.4,2025-03-13 22:37:00.226106-07:00
KXGOVTRECOGSYRIA-25-RU,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-17 11:14:50.555013+00:00,0.12,2025-03-17 04:14:50.555013-07:00
KXMARALAGO-26-VZ,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-08 10:35:32.381174+00:00,0.21,2025-03-08 02:35:32.381174-08:00
KXMOONMAN-31-R,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2024-12-01 07:12:28.152982+00:00,0.1,2024-11-30 23:12:28.152982-08:00
KXNOBELPEACE-25-VZEL,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-17 09:33:41.337778+00:00,0.16,2025-03-17 02:33:41.337778-07:00
KXPRESVISIT-26-RU,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-16 12:44:11.315077+00:00,0.32,2025-03-16 05:44:11.315077-07:00
KXPRESVISIT-26-UKR,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-16 12:39:18.497108+00:00,0.22,2025-03-16 05:39:18.497108-07:00
KXSECSTATEVISIT-26-RUS,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-15 15:31:21.772688+00:00,0.66,2025-03-15 08:31:21.772688-07:00
KXUKRAINERESIGN-26,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-17 11:26:13.354218+00:00,0.23,2025-03-17 04:26:13.354218-07:00
