ticker,event_ticker,market_type,title,yes_sub_title,no_sub_title,status,yes_bid,yes_ask,no_bid,no_ask,last_price,volume,volume_24h,open_interest,result,created_time,open_time,close_time,_fetched_at,created_ts,close_ts,search_text
KXMOONMAN-31-R,KXMOONMAN-31,binary,Which country will be the next to send humans to the Moon?,Russia,Russia,active,0,6,94,100,6,1494,0,1392,,2024-11-27 15:38:20.969040-08:00,2024-11-28 07:00:00-08:00,2031-01-01 07:00:00-08:00,2025-11-24 01:59:11.706998,2024-11-27 15:38:20.969040,2031-01-01 07:00:00.000000,which country will be the next to send humans to the moon? kxmoonman-31-r kxmoonman-31 russia russia
KXFRIDMAN-26JAN01-VP,KXFRIDMAN-26JAN01,binary,"Will Vladimir Putin go on the Lex Fridman Podcast before Jan 1, 2026?",Vladimir Putin,Vladimir Putin,active,2,7,93,98,2,8995,0,1731,,2024-12-02 21:23:56.926902-08:00,2024-12-03 07:00:00-08:00,2026-01-01 07:00:00-08:00,2025-11-24 01:58:23.795536,2024-12-02 21:23:56.926902,2026-01-01 07:00:00.000000,"will vladimir putin go on the lex fridman podcast before jan 1, 2026? kxfridman-26jan01-vp kxfridman-26jan01 vladimir putin vladimir putin"
KXMARALAGO-26-VZ,KXMARALAGO-26,binary,"Will Volodymyr Zelenskyy be reported to visit Mar-a-Lago before Jan 1, 2026?",Volodymyr Zelenskyy,Volodymyr Zelenskyy,active,5,7,93,95,7,6576,0,1141,,2024-12-04 14:02:04.433022-08:00,2024-12-04 14:15:37-08:00,2026-01-01 07:00:00-08:00,2025-11-24 01:57:53.828893,2024-12-04 14:02:04.433022,2026-01-01 07:00:00.000000,"will volodymyr zelenskyy be reported to visit mar-a-lago before jan 1, 2026? kxmaralago-26-vz kxmaralago-26 volodymyr zelenskyy volodymyr zelenskyy"
KXGOVTRECOGSYRIA-25-RU,KXGOVTRECOGSYRIA-25,binary,Will Russia reocgnize the new government of opposition-led government of Syria before Apr 2025?,Russia,Russia,finalized,50,60,40,50,28,60317,0,33706,yes,2024-12-17 10:07:23.956119-08:00,2024-12-18 07:00:00-08:00,2025-04-01 05:49:57.981480-07:00,2025-11-24 01:53:58.055341,2024-12-17 10:07:23.956119,2025-04-01 05:49:57.981480,will russia reocgnize the new government of opposition-led government of syria before apr 2025? kxgovtrecogsyria-25-ru kxgovtrecogsyria-25 russia russia
KXPRESVISIT-26-UKR,KXPRESVISIT-26,binary,Will Trump visit Ukraine in the first year?,Ukraine,Ukraine,active,3,4,96,96,4,23975,263,5041,,2024-12-17 10:23:47.012875-08:00,2024-12-18 07:00:00-08:00,2026-01-01 07:00:00-08:00,2025-11-24 01:53:58.055341,2024-12-17 10:23:47.012875,2026-01-01 07:00:00.000000,will trump visit ukraine in the first year? kxpresvisit-26-ukr kxpresvisit-26 ukraine ukraine
KXPRESVISIT-26-RU,KXPRESVISIT-26,binary,Will Trump visit Russia in the first year?,Russia,Russia,active,4,4,95,95,3,203808,0,29455,,2024-12-17 10:23:47.012876-08:00,2024-12-18 07:00:00-08:00,2026-01-01 07:00:00-08:00,2025-11-24 01:53:58.055341,2024-12-17 10:23:47.012876,2026-01-01 07:00:00.000000,will trump visit russia in the first year? kxpresvisit-26-ru kxpresvisit-26 russia russia
KXWLEADER-25-VP,KXWLEADER-25,binary,Will Trump meet with Vladimir Putin before 2026?,Vladimir Putin,Vladimir Putin,finalized,0,100,0,100,99,284943,0,105155,yes,2025-01-03 15:46:35.854834-08:00,2025-01-04 07:00:00-08:00,2025-08-15 12:19:58.491357-07:00,2025-11-24 01:39:56.606503,2025-01-03 15:46:35.854834,2025-08-15 12:19:58.491357,will trump meet with vladimir putin before 2026? kxwleader-25-vp kxwleader-25 vladimir putin vladimir putin
KXWHVISIT-25-VP,KXWHVISIT-25,binary,"Will Vladimir Putin visit the White House before Apr 1, 2025?",Vladimir Putin,Vladimir Putin,finalized,0,1,99,100,1,88110,0,39812,no,2025-01-29 15:14:16.694023-08:00,2025-01-30 07:00:49-08:00,2025-04-01 07:00:00-07:00,2025-11-24 01:25:08.546211,2025-01-29 15:14:16.694023,2025-04-01 07:00:00.000000,"will vladimir putin visit the white house before apr 1, 2025? kxwhvisit-25-vp kxwhvisit-25 vladimir putin vladimir putin"
KXNOBELPEACE-25-VZEL,KXNOBELPEACE-25,binary,Who will win the Nobel Peace Prize?,Volodymyr Zelenskyy,Volodymyr Zelenskyy,finalized,0,100,0,100,1,103929,0,50067,no,2025-02-25 07:44:01.250653-08:00,2025-02-25 07:45:31-08:00,2025-10-10 04:59:46.024250-07:00,2025-11-24 01:06:17.715291,2025-02-25 07:44:01.250653,2025-10-10 04:59:46.024250,who will win the nobel peace prize? kxnobelpeace-25-vzel kxnobelpeace-25 volodymyr zelenskyy volodymyr zelenskyy
KXSECSTATEVISIT-26-RUS,KXSECSTATEVISIT-26,binary,Will the Secretary of State visit Russia before 2026?,Russia,Russia,active,6,7,93,94,6,8172,0,4688,,2025-02-25 13:32:22.730495-08:00,2025-02-26 07:00:00-08:00,2026-01-01 07:00:00-08:00,2025-11-24 01:06:16.564611,2025-02-25 13:32:22.730495,2026-01-01 07:00:00.000000,will the secretary of state visit russia before 2026? kxsecstatevisit-26-rus kxsecstatevisit-26 russia russia
