condition_id,market_id_pm,request_id,prepared_block,init_block,init_tx,init_log_index
0xb17868a887f1f40595b2433c741b81be879add5f0a54a14f8a7cc0684dc4a0eb,527807,0xf15d6df8184375797574a9ddad216d723677b7bc7057d5bf3e23a001f4f25c2e,68933112,68933108,0xa6f5909383ec816b506572afe17072e49815ade69c3c0d2e98a314f624b3b8b6,293
0x5e1df4ad3d4a4640f57cdf11e23f26c16c9221d9614d4bf6eada4db6f34cd059,527808,0xa3c8a0b808f392eb9f6ba56cc9afa794f08c4800fc3670521d40cd20e68e82ba,68933124,68933120,0xbd5c75ec5470c77db2156e4c31134cd8da8e12b5bd05def8c375632c9d37d535,299
0xc5821602b440e61665dce5dcdc0fd20153864ba185d26a13e9be80fe98bb9e97,519777,0x2f267d4704a1060fbb1bd5b770c0bc22887b74ebcc4eda3884734225b0ba90b9,67058705,67058699,0xc80fb8fd0d7f03c51c2f7442c426fc4cd8901dc9a3822179d677f354fb34da2e,149
0x872c8e9a4e4808a2ab714c267bd8a93f63cb739c853d7e4de2b42009e73f9b3f,521835,0xcc89400dd87b50021e5b7e533d2ad5b435d00620e1be8f654f2e74f0fe9448d4,67625936,67625933,0x66a88097a78e892c3456c160d906a58540a38472518bd5dba117d4adcb2bace9,214
0x812d8819cda5c57e824719de0381d8e207a45b5b71da31a6425f6c2f181a3fc4,528973,0x45d12029ff48e322cf801737198969c4f2d8ddf4a9315becb510ffaebe4a4802,69251985,69251981,0xedcad597a0a54fbd196e7400b84874d035e6446f54f46a3719da43ef56cf467a,156
0xffffb2874475ae9c1e3a0e3c3c4b4e329eb3105427aa484f357bf41c5fd77c4f,519778,0xeb10970e0ab31c11029ee7d62e939bb96ad71c6decf0e12ba073d494c6743cd1,67058722,67058715,0x9f0f3a735e0b6cc2984f692564aa9592f7d01902dbd4f56c3e6c4336b640e94b,181
0xffdd774123c13df21ce755bfd4f65bde47a74f1377ea73c8b130d84c59831173,521836,0x1007a005ca24a696421208ba42c44584e6c7fc6d929b4ed040fd1bc79f774340,67625945,67625942,0xd23606bd50645fd8d25a30890b6e7de9d6a333fcecd19d5d7a44979d0fc4eaf2,220
0x4a68d828f7263f34391484404380c34efa9566f12a08a88553ddbe8e285c3ae9,528974,0x8dfb35f3a0b2abd9ce4950ff63ab3d48097d781b36bc5a65f24426b13e801c31,69251994,69251990,0xd23cdb0e6cff4558cfcf46042a8ab88848c76c5c235294d2f38dfc6b001d12fe,255
0xa1cee304c35d3821b004b633d7ec69cb445600085549f0ec8d431083fdb784a3,509083,0x9b846170ad1486b966931baa9b792fa3e15eddfa140705eecddf7b3af0830b37,62787483,62787478,0xf191eba6cc22fc708fd574fd7b2cfdac44c49bb9bef0308d78ba6c95e98205ea,207
0x5b4e43b605a2c8faf591c86bbd04dc9d17e973da79c70a61dfec07005cfed19b,509087,0xd2428e12639ea29fc0e70ab31655ee7b4185be22682f34a38811b323b868a3aa,62787499,62787494,0x22c609107b502a997065b8132031dd48ef2954feafe19f17214f6c67cf47a244,320
