id,condition_id,question,slug,outcomes,outcome_prices,clob_token_ids,volume,liquidity,active,closed,end_date,created_at,market_maker_address,_fetched_at,created_ts,end_ts,search_text,outcome_0_name,outcome_1_name,outcome_0_putin_2025_03_17_close_1700_PT,outcome_0_putin_2025_03_17_open_0500_PT,outcome_0_putin_2025_03_18_close_1700_PT,outcome_0_putin_2025_03_18_open_0500_PT,outcome_0_putin_2025_03_19_close_1700_PT,outcome_0_putin_2025_03_19_open_0500_PT,outcome_0_putin_2025_03_20_close_1700_PT,outcome_0_putin_2025_03_20_open_0500_PT,outcome_0_putin_2025_03_21_close_1700_PT,outcome_0_putin_2025_03_21_open_0500_PT,outcome_0_putin_2025_03_22_close_1700_PT,outcome_0_putin_2025_03_22_open_0500_PT,outcome_0_putin_2025_03_23_close_1700_PT,outcome_0_putin_2025_03_23_open_0500_PT,outcome_0_putin_2025_03_24_close_1700_PT,outcome_0_putin_2025_03_24_open_0500_PT,outcome_0_putin_2025_03_25_close_1700_PT,outcome_0_putin_2025_03_25_open_0500_PT,outcome_0_putin_2025_03_26_close_1700_PT,outcome_0_putin_2025_03_26_open_0500_PT,outcome_0_putin_2025_03_27_close_1700_PT,outcome_0_putin_2025_03_27_open_0500_PT,outcome_0_putin_2025_03_28_close_1700_PT,outcome_0_putin_2025_03_28_open_0500_PT,outcome_0_putin_2025_03_29_close_1700_PT,outcome_0_putin_2025_03_29_open_0500_PT,outcome_0_putin_2025_03_30_close_1700_PT,outcome_0_putin_2025_03_30_open_0500_PT,outcome_0_putin_2025_03_31_close_1700_PT,outcome_0_putin_2025_03_31_open_0500_PT,outcome_0_yes_2025_03_17_close_1700_PT,outcome_0_yes_2025_03_17_open_0500_PT,outcome_0_yes_2025_03_18_close_1700_PT,outcome_0_yes_2025_03_18_open_0500_PT,outcome_0_yes_2025_03_19_close_1700_PT,outcome_0_yes_2025_03_19_open_0500_PT,outcome_0_yes_2025_03_20_close_1700_PT,outcome_0_yes_2025_03_20_open_0500_PT,outcome_0_yes_2025_03_21_close_1700_PT,outcome_0_yes_2025_03_21_open_0500_PT,outcome_0_yes_2025_03_22_close_1700_PT,outcome_0_yes_2025_03_22_open_0500_PT,outcome_0_yes_2025_03_23_close_1700_PT,outcome_0_yes_2025_03_23_open_0500_PT,outcome_0_yes_2025_03_24_close_1700_PT,outcome_0_yes_2025_03_24_open_0500_PT,outcome_0_yes_2025_03_25_close_1700_PT,outcome_0_yes_2025_03_25_open_0500_PT,outcome_0_yes_2025_03_26_close_1700_PT,outcome_0_yes_2025_03_26_open_0500_PT,outcome_0_yes_2025_03_27_close_1700_PT,outcome_0_yes_2025_03_27_open_0500_PT,outcome_0_yes_2025_03_28_close_1700_PT,outcome_0_yes_2025_03_28_open_0500_PT,outcome_0_yes_2025_03_29_close_1700_PT,outcome_0_yes_2025_03_29_open_0500_PT,outcome_0_yes_2025_03_30_close_1700_PT,outcome_0_yes_2025_03_30_open_0500_PT,outcome_0_yes_2025_03_31_close_1700_PT,outcome_0_yes_2025_03_31_open_0500_PT,outcome_1_no_2025_03_17_close_1700_PT,outcome_1_no_2025_03_17_open_0500_PT,outcome_1_no_2025_03_18_close_1700_PT,outcome_1_no_2025_03_18_open_0500_PT,outcome_1_no_2025_03_19_close_1700_PT,outcome_1_no_2025_03_19_open_0500_PT,outcome_1_no_2025_03_20_close_1700_PT,outcome_1_no_2025_03_20_open_0500_PT,outcome_1_no_2025_03_21_close_1700_PT,outcome_1_no_2025_03_21_open_0500_PT,outcome_1_no_2025_03_22_close_1700_PT,outcome_1_no_2025_03_22_open_0500_PT,outcome_1_no_2025_03_23_close_1700_PT,outcome_1_no_2025_03_23_open_0500_PT,outcome_1_no_2025_03_24_close_1700_PT,outcome_1_no_2025_03_24_open_0500_PT,outcome_1_no_2025_03_25_close_1700_PT,outcome_1_no_2025_03_25_open_0500_PT,outcome_1_no_2025_03_26_close_1700_PT,outcome_1_no_2025_03_26_open_0500_PT,outcome_1_no_2025_03_27_close_1700_PT,outcome_1_no_2025_03_27_open_0500_PT,outcome_1_no_2025_03_28_close_1700_PT,outcome_1_no_2025_03_28_open_0500_PT,outcome_1_no_2025_03_29_close_1700_PT,outcome_1_no_2025_03_29_open_0500_PT,outcome_1_no_2025_03_30_close_1700_PT,outcome_1_no_2025_03_30_open_0500_PT,outcome_1_no_2025_03_31_close_1700_PT,outcome_1_no_2025_03_31_open_0500_PT,outcome_1_zelenskyy_2025_03_17_close_1700_PT,outcome_1_zelenskyy_2025_03_17_open_0500_PT,outcome_1_zelenskyy_2025_03_18_close_1700_PT,outcome_1_zelenskyy_2025_03_18_open_0500_PT,outcome_1_zelenskyy_2025_03_19_close_1700_PT,outcome_1_zelenskyy_2025_03_19_open_0500_PT,outcome_1_zelenskyy_2025_03_20_close_1700_PT,outcome_1_zelenskyy_2025_03_20_open_0500_PT,outcome_1_zelenskyy_2025_03_21_close_1700_PT,outcome_1_zelenskyy_2025_03_21_open_0500_PT,outcome_1_zelenskyy_2025_03_22_close_1700_PT,outcome_1_zelenskyy_2025_03_22_open_0500_PT,outcome_1_zelenskyy_2025_03_23_close_1700_PT,outcome_1_zelenskyy_2025_03_23_open_0500_PT,outcome_1_zelenskyy_2025_03_24_close_1700_PT,outcome_1_zelenskyy_2025_03_24_open_0500_PT,outcome_1_zelenskyy_2025_03_25_close_1700_PT,outcome_1_zelenskyy_2025_03_25_open_0500_PT,outcome_1_zelenskyy_2025_03_26_close_1700_PT,outcome_1_zelenskyy_2025_03_26_open_0500_PT,outcome_1_zelenskyy_2025_03_27_close_1700_PT,outcome_1_zelenskyy_2025_03_27_open_0500_PT,outcome_1_zelenskyy_2025_03_28_close_1700_PT,outcome_1_zelenskyy_2025_03_28_open_0500_PT,outcome_1_zelenskyy_2025_03_29_close_1700_PT,outcome_1_zelenskyy_2025_03_29_open_0500_PT,outcome_1_zelenskyy_2025_03_30_close_1700_PT,outcome_1_zelenskyy_2025_03_30_open_0500_PT,outcome_1_zelenskyy_2025_03_31_close_1700_PT,outcome_1_zelenskyy_2025_03_31_open_0500_PT
507311,0x9de98a4e1f5736ced9bdb199025024b77c1a0df3927c651b4e60a33fb4289695,Will Shakhtar Donetsk win the UEFA Champions League?,will-shakhtar-donetsk-win-the-uefa-champions-league,"[""Yes"", ""No""]","[""0"", ""1""]","[""102006319303460238827563664446951754516041393632850360444322469125777577388771"", ""109788973099970019996072517823266794542154906066004680247007602517078576240900""]",25469002.1878365,0.0,True,True,2025-05-31 05:00:00-07:00,2024-09-17 10:36:10.084639-07:00,,2026-02-03 22:24:51.047724,2024-09-17 10:36:10.084639,2025-05-31 05:00:00,will shakhtar donetsk win the uefa champions league? will-shakhtar-donetsk-win-the-uefa-champions-league,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507984,0xfca3e637b1b126a59dd2aac2ca89d501f30c0aacb5dbf9b7b5f1d2c18ca00a55,Will Dynamo Kyiv win the UEFA Europa League?,will-dynamo-kyiv-win-the-uefa-europa-league,"[""Yes"", ""No""]","[""0"", ""1""]","[""50284187941943469569202009194355917949339120733469101749033950310686959468007"", ""68914504833157616843053838732988841773228477730246651549660144444755511574372""]",6108207.296014,0.0,True,True,2025-05-21 05:00:00-07:00,2024-09-24 12:11:29.177343-07:00,,2026-02-03 22:24:51.766480,2024-09-24 12:11:29.177343,2025-05-21 05:00:00,will dynamo kyiv win the uefa europa league? will-dynamo-kyiv-win-the-uefa-europa-league,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510319,0xa5ac4cdcfff44ddfb0d332d33575f766414465786fb7d4350782db40d5e9da11,Trump ends Ukraine war in first 90 days?,trump-wins-ends-ukraine-war-in-90-days,"[""Yes"", ""No""]","[""0"", ""1""]","[""84888738552927367074645370589243532246434846262240067551074642775011167355434"", ""86857783363775257860227917708309268561005168570896999677788731255030014967896""]",56491984.2956951,0.0,True,True,2025-04-20 05:00:00-07:00,2024-10-21 11:09:12.014074-07:00,,2026-02-03 22:24:53.275733,2024-10-21 11:09:12.014074,2025-04-20 05:00:00,trump ends ukraine war in first 90 days? trump-wins-ends-ukraine-war-in-90-days,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.35,0.24000000846207545,0.3497734238514114,0.19,0.210000000316,0.13,0.16686381928348878,0.14,0.15,0.15,0.14,0.16,0.15,0.14,0.15,0.15,0.1400000002064,0.13000000121800007,0.14,0.09,0.1200000043084492,0.070000000664286,0.07000001860008333,0.06999999575333331,0.07,0.07,0.060000003760011265,0.07,0.07,0.65,0.6599999844899996,0.75,0.66,0.8099999808545442,0.789999999684,0.85,0.84,0.8599999738559987,0.84,0.85,0.86,0.84,0.85,0.8699999791199984,0.85,0.84,0.85,0.86,0.8599999991399997,0.91,0.8799999956915509,0.929999999335714,0.9299999813999167,0.94,0.93,0.93,0.9399999962399888,0.9399994295168007,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516143,0x4cfe8afc969fc85f4aa92ef01e8c82b84f773ea1cdf198d694ef9da1155393eb,Will Putin meet with Trump in first 100 days?,will-putin-meet-with-trump-by-first-100-days,"[""Yes"", ""No""]","[""0"", ""1""]","[""25742247876332768458781360292043764039507900813404980298479194684402595556451"", ""95786924372760057572092804419385993470890190892343223404877167501659835222533""]",6796181.626846,0.0,True,True,2025-04-29 05:00:00-07:00,2024-12-20 10:24:41.141666-08:00,,2026-02-03 22:24:58.949138,2024-12-20 10:24:41.141666,2025-04-29 05:00:00,will putin meet with trump in first 100 days? will-putin-meet-with-trump-by-first-100-days,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3699998971300273,0.3485964070143903,0.22,0.37962032453559846,0.19000000331363695,0.21,0.12,0.14,0.14,0.13999999834319526,0.15,0.14,0.1550376464115965,0.16,0.16,0.1699999870799997,0.16,0.15,0.0992592354590218,0.16,0.08,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.6300001028699727,0.65,0.7600000081600001,0.64,0.809999996686363,0.78,0.8700000372666684,0.86,0.86,0.8600000033648525,0.85,0.86,0.83,0.84,0.84,0.8300000129200004,0.83,0.83,0.9,0.8499997449998725,0.92,0.91,0.9,0.91,0.91,0.92,0.92,0.92,0.91,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516187,0x73b046b7970a1780f1d7a0cacf73413325911dd87cdc5b63cfdc27496110fb1b,Will Turkey leave NATO by June 30?,will-turkey-leave-nato-by-june-30,"[""Yes"", ""No""]","[""0"", ""1""]","[""56333219586489855674685549932194420713208928308331628771337419037140355178076"", ""76896069667756716472035601301016783496873889454464161011234150458037478069918""]",65478.635547,0.0,True,True,2025-06-30 05:00:00-07:00,2024-12-20 14:37:35.317833-08:00,,2026-02-03 22:24:58.949138,2024-12-20 14:37:35.317833,2025-06-30 05:00:00,will turkey leave nato by june 30? will-turkey-leave-nato-by-june-30,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.9599998617599647,0.96,0.9599999654399978,0.9599998617599647,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.96,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516189,0x98f8c3c5ce0af4b45b30b1323e132f1f430cea4df5de4089dade2e23082e1743,Will Ukraine join NATO before July?,will-ukraine-join-nato-before-july,"[""Yes"", ""No""]","[""0"", ""1""]","[""71685983838843709915160975671540060908877886707703474939962098991499689519711"", ""25301545985889508293321782755434072371936771538975200674445139222395623272851""]",148817.631713,0.0,True,True,2025-06-30 05:00:00-07:00,2024-12-20 14:56:49.481643-08:00,,2026-02-03 22:24:58.949138,2024-12-20 14:56:49.481643,2025-06-30 05:00:00,will ukraine join nato before july? will-ukraine-join-nato-before-july,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.031224489795918367,0.031224489795918367,0.03,0.031224489795918367,0.033,0.03,0.033,0.033,0.033,0.033,0.032,0.033,0.032,0.032,0.972,0.972,0.971,0.972,0.971,0.971,0.97,0.971,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.967,0.967,0.97,0.967,0.967,0.97,0.967,0.9708737168312996,0.9709999108621725,0.9709999108621725,0.968,0.9709999108621725,0.968,0.968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516190,0x4b1470a1d83fe0e9e5e7edfd68ca0517fdd1386e412d2203d27a5c2832ed60c1,Will Putin remain President of Russia through June?,will-putin-remain-president-of-russia-through-june-2025,"[""Yes"", ""No""]","[""1"", ""0""]","[""83080252071092689902932666850490074811760131055025811650818073654402601835484"", ""27706044619360761256387697290478189707563660684659877077148428665563431908215""]",1098391.834422,0.0,True,True,2025-06-30 05:00:00-07:00,2024-12-20 15:16:42.922838-08:00,,2026-02-03 22:24:58.949138,2024-12-20 15:16:42.922838,2025-06-30 05:00:00,will putin remain president of russia through june? will-putin-remain-president-of-russia-through-june-2025,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9659999888077212,0.9659999955199968,0.9659999845436911,0.9659999845436911,0.9689338376056403,0.9659999845436911,0.9689338376056403,0.9689338376056403,0.961,0.9689338376056403,0.9605820721769499,0.965,0.9629999992536745,0.9605820721769499,0.96,0.96,0.96,0.96,0.963,0.96,0.962,0.9630000355940014,0.96,0.962,0.965,0.9639993714711528,0.9669992956770738,0.964,0.962,0.968,0.03400000257600171,0.034000004480003225,0.034,0.03400001545630888,0.032832113144758736,0.034,0.032832113144758736,0.032832113144758736,0.04083720930232558,0.032832113144758736,0.037,0.035,0.037000000746325486,0.037,0.037000000746325486,0.037000000746325486,0.037000000746325486,0.037000000746325486,0.037,0.037000000746325486,0.038,0.03700000140600005,0.03994286,0.038,0.035,0.03994286,0.03300000183608757,0.036,0.03799963333333333,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516315,0xa07f15fdd0baa90adf78bd4d66543083334a7e5235a95fa5f241c4e519ea83f6,Will US leave NATO by June 30?,will-us-leave-nato-by-june-30,"[""Yes"", ""No""]","[""0"", ""1""]","[""9252583647094848244431316973245869222379640287360099162283052699401101960353"", ""112686805416681376426848642516954883318316273962669944235801308401883591913314""]",622057.522977,0.0,True,True,2025-06-30 05:00:00-07:00,2024-12-23 08:00:13.432307-08:00,,2026-02-03 22:24:58.949138,2024-12-23 08:00:13.432307,2025-06-30 05:00:00,will us leave nato by june 30? will-us-leave-nato-by-june-30,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04076074,0.04076074,0.048073349633251834,0.04683333333333333,0.05,0.046,0.046,0.045,0.04899999083699988,0.05294058827822787,0.050687154159611815,0.0452232,0.057999946407995925,0.057999946407995925,0.053,0.05,0.054000000054,0.049,0.054000000054,0.054000000054,0.051,0.054,0.04842511637119937,0.052,0.046,0.0480000012693334,0.046,0.046,0.045780437044745055,0.046,0.959,0.959,0.952,0.953,0.95,0.9539999828279832,0.954,0.956,0.9510004581502978,0.947,0.9539336970762051,0.954,0.9420000535920041,0.9420000535920041,0.947,0.95,0.946,0.951,0.946,0.946,0.949,0.946,0.952,0.948,0.954,0.9519999987306667,0.954,0.954,0.955,0.954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516715,0x9bacdaac65cbe257e96e58daf343c56879ea9003bdaed7cdb8cfcd1a82121d3a,Ukraine joins NATO in 2025?,ukraine-joins-nato-in-2025,"[""Yes"", ""No""]","[""0"", ""1""]","[""5802460671946751538636185453975614627729230853286731735057811449821051691611"", ""104795148936930645520469554178353538587130154145659561962269514319642274480768""]",245327.51675,0.0,True,True,2025-12-31 04:00:00-08:00,2024-12-29 10:45:23.330261-08:00,,2026-02-03 22:24:59.475633,2024-12-29 10:45:23.330261,2025-12-31 04:00:00,ukraine joins nato in 2025? ukraine-joins-nato-in-2025,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06000000188000263,0.06000000188000263,0.06000000188000263,0.06000000188000263,0.06,0.06,0.06,0.06,0.060000003760011265,0.060000003760011265,0.06000000626667916,0.060000003760011265,0.06000000626667916,0.06000000626667916,0.060000000268571434,0.06000000626667916,0.060000000268571434,0.060000000268571434,0.060000000268571434,0.060000000268571434,0.060000000268571434,0.060000000268571434,0.06,0.060000037600487305,0.94,0.94,0.9399999623995127,0.9399999623995127,0.9399999623995127,0.9399999623995127,0.9399999981199973,0.9399999981199973,0.93,0.9399999981199973,0.94,0.94,0.94,0.94,0.9399999962399888,0.9399999962399888,0.9399999937333209,0.9399999962399888,0.9399999937333209,0.9399999937333209,0.9399999997314286,0.9399999937333209,0.9399999997314286,0.9399999997314286,0.9399999997314286,0.9399999997314286,0.93,0.9399999997314286,0.9399999623995127,0.9399999623995127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516719,0x8ee2f1640386310eb5e7ffa596ba9335f2d324e303d21b0dfea6998874445791,Russia x Ukraine ceasefire in 2025?,russia-x-ukraine-ceasefire-in-2025,"[""Yes"", ""No""]","[""0"", ""1""]","[""15974786252393396629980467963784550802583781222733347534844974829144359265969"", ""42351579455604873042957090441032286075880144797259231030267680078160718556927""]",73752993.267722,0.0,True,True,2025-12-31 04:00:00-08:00,2024-12-29 10:47:35.140745-08:00,,2026-02-03 22:24:59.475633,2024-12-29 10:47:35.140745,2025-12-31 04:00:00,russia x ukraine ceasefire in 2025? russia-x-ukraine-ceasefire-in-2025,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,0.74,0.74,0.7599999954399995,0.6999999936363626,0.7099999952666666,0.6900000007841766,0.7,0.7099999826829132,0.69,0.7,0.69,0.7099999994115732,0.71,0.6899999951699998,0.7,0.65,0.68,0.63,0.67,0.6099999993899999,0.63,0.5670169775728359,0.6,0.5299999797636334,0.5699999925899997,0.53,0.52,0.4900000991667163,0.52,0.26,0.25,0.2615,0.24000000456000042,0.30000000636363744,0.29,0.30999999921582344,0.3,0.2900000173170868,0.31,0.3,0.30999998945999985,0.29000000058842684,0.2999999742857128,0.3166528240153271,0.3,0.34,0.32,0.36999999862614047,0.33999993631419206,0.39000000061000006,0.37,0.43,0.4,0.47000002023636656,0.43999999207999974,0.469999964703546,0.48,0.5099999008332837,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
