platform,category,market_key,event_key,status,volume,open_interest,created_at,end_date,title,yes_sub_title,no_sub_title,slug
kalshi,construction_supply,KXFUNDINGBILLS-26JAN01-OPT1,KXFUNDINGBILLS-26JAN01,finalized,838.0,832.0,2025-11-05 10:40:41.488998-08:00,2025-11-12 19:38:53.707372-08:00,"Will a bill containing two components: (1) A provision making temporary continuing appropriations to fund government agencies, and (2) a minibus making full-year appropriations for  Military Construction-VA, Legislative Branch, and Agriculture appropriations bills become law before Jan 1, 2026?",CR + 3-Bill Minibus,CR + 3-Bill Minibus,
polymarket,construction_supply,578376,0x0d644bfeedc722b45d7a7c785d8efc0d9a75e8bba85dd689755131eaafab3888,closed,79360.583407,0.0,2025-08-19 06:00:59.021311-07:00,2025-12-31 21:00:00-08:00,Will Phantom daily builder revenue hit $300k in 2025?,,,will-phantom-daily-builder-revenue-hit-300k-in-2025
polymarket,construction_supply,578982,0x0a1261028c33b584f8fe3c723c570d719ee1a3ae985adc1dc22af8f52e4c636a,closed,43456.371692,0.0,2025-08-20 09:03:37.771632-07:00,2025-12-31 21:00:00-08:00,Will BasedApp daily builder revenue hit $100k in 2025?,,,will-basedone-daily-builder-revenue-hit-100k-in-2025
polymarket,construction_supply,606822,0x63b0ad66b72cde145a977f22566bee78cfbf0c14752ca0cf0e04f0d3ef6b0a3a,closed,37517.053305,0.0,2025-09-21 11:36:57.859399-07:00,2025-12-31 21:00:00-08:00,Will BasedApp daily builder revenue hit $1M in 2025?,,,will-basedapp-daily-builder-revenue-hit-1m-in-2025
polymarket,construction_supply,575702,0x737f752f9aab671eb5b8222deadcb8826d57dbe5a50ea4c0960fd1fdcaed3487,closed,9253.181751,0.0,2025-08-13 09:18:35.316101-07:00,2025-12-31 20:00:00-08:00,Will Phantom daily builder revenue hit $200k in 2025?,,,phantom-daily-builder-revenue-above-200k-in-2025
polymarket,construction_supply,592544,0x508ef2e9655982beabf4314c87633260ce12fdf806be043ea20277bbb27158ad,closed,3885.609656,0.0,2025-09-10 04:32:27.976836-07:00,2025-12-31 21:00:00-08:00,Will BasedApp daily builder revenue hit $200k in 2025?,,,will-basedapp-daily-builder-revenue-hit-200k-in-2025
polymarket,construction_supply,644568,0x1705630518f7539a738afa051bcdf8b1a0409e20305879d4c9f0eba0a1281423,closed,156.99176,0.0,2025-10-22 08:58:32.432565-07:00,2025-10-21 17:00:00-07:00,"Will Jeff Yan say ""Builder codes"" 3+ times during TBPN appearance on October 22?",,,will-jeff-yan-say-builder-codes-3-times-during-tbpn-appearance-on-october-22
polymarket,construction_supply,658056,0xd1479f20bee857d363c7ac4fae4a789d8905e2591b0d34eeddce5cbd199c687d,closed,100.0,0.0,2025-10-31 07:00:16.243405-07:00,2025-11-05 16:00:00-08:00,Newport News Apprentice Builders vs. Hampton Pirates (W),,,cwbb-new-hamp-2025-11-06
polymarket,construction_supply,703250,0x881c4646a0f705f83337c57ba8e37cdc50a614efc298c83ae0ff46fe429a90d6,closed,39.99,0.0,2025-11-25 07:00:31.818208-08:00,2025-12-01 16:00:00-08:00,Newport News Apprentice Builders vs. Hampton Pirates,,,cbb-new-hamp-2025-12-01
kalshi,housing_prices_rents,KXSECHUD-26DEC31-BC,KXSECHUD-26DEC31,finalized,373651.0,49166.0,2024-11-06 12:24:46.524461-08:00,2025-02-05 12:19:50.270348-08:00,"Will Ben Carson be confirmed as Secretary of Housing and Urban Development by Dec 31, 2026?",Ben Carson,Ben Carson,
