platform,category,market_key,event_key,status,volume,liquidity_or_oi,created_at,end_date,title,yes_sub_title,no_sub_title,slug
kalshi,direct_housing_data,FRMMAX-22DEC29-P7.5,FRMMAX-22DEC29,finalized,113848.0,29535.0,2022-05-16 06:39:23.904740-07:00,2022-12-29 06:55:00-08:00,"Will the 30-year fixed rate mortgage rate reach above 7.5% by December 29, 2022?",Above 7.5%,7.5% or below,
kalshi,direct_housing_data,FRMMAX-22DEC29-P6.5,FRMMAX-22DEC29,finalized,60564.0,20048.0,2022-05-16 06:39:23.904735-07:00,2022-09-29 07:08:24.652444-07:00,"Will the 30-year fixed rate mortgage rate reach above 6.5% by December 29, 2022?",Above 6.5%,6.5% or below,
kalshi,direct_housing_data,FRMMAX-22DEC29-P7.0,FRMMAX-22DEC29,finalized,54229.0,21548.0,2022-05-16 06:39:23.904737-07:00,2022-10-27 07:07:38.901870-07:00,"Will the 30-year fixed rate mortgage rate reach above 7.0% by December 29, 2022?",Above 7.0%,7.0% or below,
kalshi,direct_housing_data,FRMMAX-22DEC29-P6.0,FRMMAX-22DEC29,finalized,36413.0,11708.0,2022-05-16 06:39:23.904732-07:00,2022-09-19 08:35:01.082688-07:00,"Will the 30-year fixed rate mortgage rate reach above 6.0% by December 29, 2022?",Above 6.0%,6.0% or below,
kalshi,direct_housing_data,FRMMAX-22DEC29-P8.0,FRMMAX-22DEC29,finalized,19894.0,10696.0,2022-11-02 06:47:10.882108-07:00,2022-12-29 06:55:00-08:00,"Will the 30-year fixed rate mortgage rate reach above 8.0% by December 29, 2022?",Above 8.0%,8.0% or below,
kalshi,direct_housing_data,FRM-21AUG12-T2.80,FRM-21AUG12,finalized,14940.0,9864.0,2021-08-05 13:03:25.664745-07:00,2021-08-11 17:00:00-07:00,Will the 30-Year Fixed Rate Mortgage rate be above 2.80%?,Above 2.80%%,2.80%% or below,
kalshi,direct_housing_data,FRMMAX-23DEC28-P7.8,FRMMAX-23DEC28,finalized,13047.0,2940.0,2023-10-06 12:21:07.159935-07:00,2023-12-28 06:55:00-08:00,"Will the 30-year fixed rate mortgage rate reach  7.8% by December 28, 2023?",Above 7.8%,7.8% or below,
kalshi,direct_housing_data,FRM-22AUG25-T5.30,FRM-22AUG25,finalized,12613.0,6503.0,2022-08-19 07:31:30.506393-07:00,2022-08-25 06:55:00-07:00,Will the 30-Year Fixed Rate Mortgage rate be above 5.30%?,Above 5.30%,5.30% or below,
kalshi,direct_housing_data,HOME-22FEB-T800,HOME-22FEB,finalized,12566.0,4463.0,2022-02-25 06:33:28.927708-08:00,2022-03-23 06:55:00-07:00,"Will **new U.S. home sales** be above 800,000 in February?","Above 800,000","800,000 or below",
kalshi,direct_housing_data,FRM-22JUL28-T5.50,FRM-22JUL28,finalized,10854.0,7560.0,2022-07-22 06:51:03.125067-07:00,2022-07-28 06:55:00-07:00,Will the **30-Year Fixed Rate Mortgage** rate be above 5.50%?,Above %,% or below,
kalshi,direct_housing_data,FRM-22AUG25-T5.40,FRM-22AUG25,finalized,10848.0,7305.0,2022-08-19 07:32:55.637800-07:00,2022-08-25 06:55:00-07:00,Will the 30-Year Fixed Rate Mortgage rate be above 5.40%?,Above 5.40%,5.40% or below,
kalshi,direct_housing_data,FRMMIN-24SEP26-P6.4,FRMMIN-24SEP26,finalized,9996.0,3469.0,2024-06-20 08:16:01.337094-07:00,2024-09-01 16:25:04.034989-07:00,"Will the 30-year fixed rate mortgage rate reach below 6.4% by September 26, 2024?",Below 6.4%,6.4% or above,
kalshi,direct_housing_data,FRM-21SEP02-T2.86,FRM-21SEP02,finalized,9949.0,3229.0,2021-08-26 13:21:10.112359-07:00,2021-09-01 17:00:00-07:00,Will the 30-Year Fixed Rate Mortgage rate be above 2.86%?,Above 2.86%%,2.86%% or below,
kalshi,direct_housing_data,FRM-23APR13-T6.2,FRM-23APR13,finalized,9472.0,8531.0,2023-04-07 06:37:31.605863-07:00,2023-04-13 08:55:00-07:00,Will the 30-Year Fixed Rate Mortgage rate be above 6.2%?,Above 6.2%,6.2% or below,
