event,block,tx,request_timestamp,proposer,proposed_price,proposed_price_meaning,disputer,price,price_meaning,payout,block_timestamp,block_time_utc
RequestPrice,71844524,0x961d7f695c28756e0d0e4e5366206bcee45bb1251c15d6115bf469e55a83a99d,1747953044,,,,,,,,1747953044,2025-05-22 22:30:44+00:00
ProposePrice,72120257,0xde229e50f6e84afb92e9964007cc9a042660e54d080edf4113bbdc1d73fb5315,1747953044,0x36b09e274b1e5cd62c8d362949881800be786968,1e+18,Yes,,,,,1748542409,2025-05-29 18:13:29+00:00
DisputePrice,72122565,0x84c6a47e01a6fbff0f13b29ad5f83b0b256979bdb950c79ddffd984bcad8cd7b,1747953044,0x36b09e274b1e5cd62c8d362949881800be786968,,,0x88a8386b6c4e2ab0bc359b36a555a6be9cb253c5,,,,1748547313,2025-05-29 19:35:13+00:00
RequestPrice,72122565,0x84c6a47e01a6fbff0f13b29ad5f83b0b256979bdb950c79ddffd984bcad8cd7b,1748547313,,,,,,,,1748547313,2025-05-29 19:35:13+00:00
ProposePrice,72258570,0xaebd583f76451a0c9391c100e7344ff338d425ecfe4c7f7f7440df5ce4c18a57,1748547313,0x53266a7a331799830a805958fcee070ccd54eb7b,1e+18,Yes,,,,,1748837483,2025-06-02 04:11:23+00:00
DisputePrice,72259241,0xffc414fb68e8663048a4e05b27cbc7d8cdb67702a1d2f0fdcd4a7bd9a0fd940e,1748547313,0x53266a7a331799830a805958fcee070ccd54eb7b,,,0xdcfe1241639ad73d5d0d992320de6958cc9168da,,,,1748838909,2025-06-02 04:35:09+00:00
Settle,72292639,0x3affac16f02c3253c873f14bd1cb1bbbce79bbfc407b6378acbd083b879e2603,1747953044,,,,,-57896044618658097711785492504343953926634992332820282019728792003956564819968,Ignore (too early / reset),1000000000.0,1748910636,2025-06-03 00:30:36+00:00
Settle,72373318,0x31072616da15f78b3883a05dd74f41cf8a2cedcaa0702576bd1d528afdafab4f,1748547313,,,,,-57896044618658097711785492504343953926634992332820282019728792003956564819968,Ignore (too early / reset),1000000000.0,1749084075,2025-06-05 00:41:15+00:00
RequestPrice,73217550,0x328a61f885cbaaadfadbc6549d1f0ce50384d30ef36bd1d64606562fe222f95e,1750885128,,,,,,,,1750885128,2025-06-25 20:58:48+00:00
ProposePrice,73237532,0x2509547371292fcc2ebfd9509a853823e3c2ff015cb7d3ae073b09b139ace6e9,1750885128,0x5fa7a9e0b6905d173390622485afb34e0fe1dc2e,1e+18,Yes,,,,,1750927670,2025-06-26 08:47:50+00:00
DisputePrice,73237809,0xea90fbed47f662197d3d9b277daafe4f80c34af7b1b484761b3a514602bd96e8,1750885128,0x5fa7a9e0b6905d173390622485afb34e0fe1dc2e,,,0x397a89e36d2004295c5de5e9698d96eb477f0c6c,,,,1750928260,2025-06-26 08:57:40+00:00
Settle,73345224,0x70631d01c6df127534efa2e1ef4c0651400eab3cba5819bf9b43416dcd3fd240,1750885128,,,,,-57896044618658097711785492504343953926634992332820282019728792003956564819968,Ignore (too early / reset),1000000000.0,1751156944,2025-06-29 00:29:04+00:00
RequestPrice,73356878,0xea176326924200fef7d7dbdc494a0648c48196aa726c58296aac49fae19ef344,1751182150,,,,,,,,1751182150,2025-06-29 07:29:10+00:00
ProposePrice,73431892,0x26e3eb4be1f941e58eba0787fd86736ef23d837bcdb4eaed64ea7f07923439eb,1751182150,0x3e72d5fd634a27aa8fbaf766efc064c414015ddb,1e+18,Yes,,,,,1751341891,2025-07-01 03:51:31+00:00
DisputePrice,73431905,0xa987137fd5aaf1d14e2b63b8f883c5353cdd358a7ef3ea9950dfb79e992adf60,1751182150,0x3e72d5fd634a27aa8fbaf766efc064c414015ddb,,,0x19d7f71c7e1b9696271fd5a5e29f5754bb21d4f8,,,,1751341919,2025-07-01 03:51:59+00:00
Settle,73587421,0x7468dd1ccb9eefc9adf06ae3da29dc23e05696f2b43a62ede2fe8edff552984c,1751182150,,,,,-57896044618658097711785492504343953926634992332820282019728792003956564819968,Ignore (too early / reset),1000000000.0,1751675256,2025-07-05 00:27:36+00:00
RequestPrice,73587429,0x22294b3fbae37d4aa92d8d5db9a373f265ba330294cbb02ff468ed0de27317e8,1751675274,,,,,,,,1751675274,2025-07-05 00:27:54+00:00
ProposePrice,73587469,0xa7f96be6fd8a41b29b972ded3e52b625a888cd7df7a01c904b2cef76fe10a193,1751675274,0xd7f6ebdf0235f587154e2d7d38f9d80568494993,0.0,No,,,,,1751675358,2025-07-05 00:29:18+00:00
DisputePrice,73588591,0x0ee60f3751cb8bdf4a80419373fc3d95ac5cef7c6b614f05cbd5fe4173cf5815,1751675274,0xd7f6ebdf0235f587154e2d7d38f9d80568494993,,,0x29667aec8b35a2d63128f070f44bd5c53d28f903,,,,1751677742,2025-07-05 01:09:02+00:00
Settle,73750016,0xbeaf150ce32f1a25d1ffef7fc7e6335defac7ad031779375aec5f03439f43cd6,1751675274,,,,,0,No,1000000000.0,1752020857,2025-07-09 00:27:37+00:00
