ticker,cutoff_utc,cutoff_label,cutoff_local,trade_ts_utc,price,source_trade_ts_local
KXBILATERALMENTION-25JUN06-NATO,2025-06-23 12:00:00+00:00,2025_06_23_open_0500_PT,2025-06-23 05:00:00-07:00,2025-06-23 05:31:50.817160+00:00,0.29,2025-06-22 22:31:50.817160-07:00
KXBOYCOTTWC-26,2025-06-23 12:00:00+00:00,2025_06_23_open_0500_PT,2025-06-23 05:00:00-07:00,2025-06-12 15:30:37.859642+00:00,0.11,2025-06-12 08:30:37.859642-07:00
KXELECTUKRAINE-26,2025-06-23 12:00:00+00:00,2025_06_23_open_0500_PT,2025-06-23 05:00:00-07:00,2025-06-21 17:47:22.247173+00:00,0.15,2025-06-21 10:47:22.247173-07:00
KXEUROVISIONTELEVOTE-25-UKR,2025-06-23 12:00:00+00:00,2025_06_23_open_0500_PT,2025-06-23 05:00:00-07:00,,,
KXFLIGHTSRUSSIA-25,2025-06-23 12:00:00+00:00,2025_06_23_open_0500_PT,2025-06-23 05:00:00-07:00,2025-06-19 06:48:03.688839+00:00,0.26,2025-06-18 23:48:03.688839-07:00
KXFRIDMAN-26JAN01-VP,2025-06-23 12:00:00+00:00,2025_06_23_open_0500_PT,2025-06-23 05:00:00-07:00,2025-04-27 20:49:20.564258+00:00,0.12,2025-04-27 13:49:20.564258-07:00
KXFTACOUNTRIES-26-RUS,2025-06-23 12:00:00+00:00,2025_06_23_open_0500_PT,2025-06-23 05:00:00-07:00,2025-06-19 06:42:34.868659+00:00,0.16,2025-06-18 23:42:34.868659-07:00
KXLEADERMEETPOPE-26-VPUT,2025-06-23 12:00:00+00:00,2025_06_23_open_0500_PT,2025-06-23 05:00:00-07:00,2025-06-20 21:42:33.055524+00:00,0.13,2025-06-20 14:42:33.055524-07:00
KXLEADEROUT-25-VPUT,2025-06-23 12:00:00+00:00,2025_06_23_open_0500_PT,2025-06-23 05:00:00-07:00,2025-06-22 19:02:03.732261+00:00,0.02,2025-06-22 12:02:03.732261-07:00
KXMARALAGO-26-VZ,2025-06-23 12:00:00+00:00,2025_06_23_open_0500_PT,2025-06-23 05:00:00-07:00,2025-05-22 11:59:49.988731+00:00,0.16,2025-05-22 04:59:49.988731-07:00
KXMENWORLDCUP-26-UA,2025-06-23 12:00:00+00:00,2025_06_23_open_0500_PT,2025-06-23 05:00:00-07:00,,,
KXMOONMAN-31-R,2025-06-23 12:00:00+00:00,2025_06_23_open_0500_PT,2025-06-23 05:00:00-07:00,2025-03-28 12:27:09.813063+00:00,0.01,2025-03-28 05:27:09.813063-07:00
KXMUSKVISIT-25-RUS,2025-06-23 12:00:00+00:00,2025_06_23_open_0500_PT,2025-06-23 05:00:00-07:00,2025-03-25 11:53:00.638752+00:00,0.25,2025-03-25 04:53:00.638752-07:00
KXNOBELPEACE-25-VZEL,2025-06-23 12:00:00+00:00,2025_06_23_open_0500_PT,2025-06-23 05:00:00-07:00,2025-06-23 09:01:57.456628+00:00,0.11,2025-06-23 02:01:57.456628-07:00
KXPOPEVISITNEXT-26-UA,2025-06-23 12:00:00+00:00,2025_06_23_open_0500_PT,2025-06-23 05:00:00-07:00,2025-06-23 08:34:32.768516+00:00,0.11,2025-06-23 01:34:32.768516-07:00
KXPOPEVISITSECOND-26-UA,2025-06-23 12:00:00+00:00,2025_06_23_open_0500_PT,2025-06-23 05:00:00-07:00,,,
KXPRESVISIT-26-RU,2025-06-23 12:00:00+00:00,2025_06_23_open_0500_PT,2025-06-23 05:00:00-07:00,2025-06-21 22:02:52.201671+00:00,0.16,2025-06-21 15:02:52.201671-07:00
KXPRESVISIT-26-UKR,2025-06-23 12:00:00+00:00,2025_06_23_open_0500_PT,2025-06-23 05:00:00-07:00,2025-06-16 13:31:27.962463+00:00,0.15,2025-06-16 06:31:27.962463-07:00
KXSECSTATEVISIT-26-RUS,2025-06-23 12:00:00+00:00,2025_06_23_open_0500_PT,2025-06-23 05:00:00-07:00,2025-06-22 18:52:29.596256+00:00,0.26,2025-06-22 11:52:29.596256-07:00
KXTIMEDECADE20S-30-VZEL,2025-06-23 12:00:00+00:00,2025_06_23_open_0500_PT,2025-06-23 05:00:00-07:00,2025-06-02 19:56:39.708094+00:00,0.11,2025-06-02 12:56:39.708094-07:00
KXTPSUKR-25,2025-06-23 12:00:00+00:00,2025_06_23_open_0500_PT,2025-06-23 05:00:00-07:00,2025-06-23 11:18:50.758790+00:00,0.04,2025-06-23 04:18:50.758790-07:00
KXUKRAINERESIGN-26,2025-06-23 12:00:00+00:00,2025_06_23_open_0500_PT,2025-06-23 05:00:00-07:00,2025-06-22 17:02:59.558257+00:00,0.07,2025-06-22 10:02:59.558257-07:00
KXUKRIMPEACH-26,2025-06-23 12:00:00+00:00,2025_06_23_open_0500_PT,2025-06-23 05:00:00-07:00,2025-06-20 11:48:23.014628+00:00,0.06,2025-06-20 04:48:23.014628-07:00
KXWHVISIT-26JAN-VPUT,2025-06-23 12:00:00+00:00,2025_06_23_open_0500_PT,2025-06-23 05:00:00-07:00,2025-06-22 10:04:48.231634+00:00,0.07,2025-06-22 03:04:48.231634-07:00
KXWHVISIT-26JAN-VZEL,2025-06-23 12:00:00+00:00,2025_06_23_open_0500_PT,2025-06-23 05:00:00-07:00,2025-06-19 16:15:49.906814+00:00,0.4,2025-06-19 09:15:49.906814-07:00
KXWLEADER-25-VP,2025-06-23 12:00:00+00:00,2025_06_23_open_0500_PT,2025-06-23 05:00:00-07:00,2025-06-22 16:48:01.632771+00:00,0.41,2025-06-22 09:48:01.632771-07:00
KXBILATERALMENTION-25JUN06-NATO,2025-06-24 00:00:00+00:00,2025_06_23_close_1700_PT,2025-06-23 17:00:00-07:00,2025-06-23 21:36:28.270521+00:00,0.3,2025-06-23 14:36:28.270521-07:00
KXBOYCOTTWC-26,2025-06-24 00:00:00+00:00,2025_06_23_close_1700_PT,2025-06-23 17:00:00-07:00,2025-06-12 15:30:37.859642+00:00,0.11,2025-06-12 08:30:37.859642-07:00
KXELECTUKRAINE-26,2025-06-24 00:00:00+00:00,2025_06_23_close_1700_PT,2025-06-23 17:00:00-07:00,2025-06-23 15:41:31.753763+00:00,0.16,2025-06-23 08:41:31.753763-07:00
KXEUROVISIONTELEVOTE-25-UKR,2025-06-24 00:00:00+00:00,2025_06_23_close_1700_PT,2025-06-23 17:00:00-07:00,,,
KXFLIGHTSRUSSIA-25,2025-06-24 00:00:00+00:00,2025_06_23_close_1700_PT,2025-06-23 17:00:00-07:00,2025-06-23 22:34:57.405900+00:00,0.25,2025-06-23 15:34:57.405900-07:00
KXFRIDMAN-26JAN01-VP,2025-06-24 00:00:00+00:00,2025_06_23_close_1700_PT,2025-06-23 17:00:00-07:00,2025-04-27 20:49:20.564258+00:00,0.12,2025-04-27 13:49:20.564258-07:00
KXFTACOUNTRIES-26-RUS,2025-06-24 00:00:00+00:00,2025_06_23_close_1700_PT,2025-06-23 17:00:00-07:00,2025-06-19 06:42:34.868659+00:00,0.16,2025-06-18 23:42:34.868659-07:00
KXLEADERMEETPOPE-26-VPUT,2025-06-24 00:00:00+00:00,2025_06_23_close_1700_PT,2025-06-23 17:00:00-07:00,2025-06-20 21:42:33.055524+00:00,0.13,2025-06-20 14:42:33.055524-07:00
KXLEADEROUT-25-VPUT,2025-06-24 00:00:00+00:00,2025_06_23_close_1700_PT,2025-06-23 17:00:00-07:00,2025-06-22 19:02:03.732261+00:00,0.02,2025-06-22 12:02:03.732261-07:00
KXMARALAGO-26-VZ,2025-06-24 00:00:00+00:00,2025_06_23_close_1700_PT,2025-06-23 17:00:00-07:00,2025-05-22 11:59:49.988731+00:00,0.16,2025-05-22 04:59:49.988731-07:00
KXMENWORLDCUP-26-UA,2025-06-24 00:00:00+00:00,2025_06_23_close_1700_PT,2025-06-23 17:00:00-07:00,,,
KXMOONMAN-31-R,2025-06-24 00:00:00+00:00,2025_06_23_close_1700_PT,2025-06-23 17:00:00-07:00,2025-03-28 12:27:09.813063+00:00,0.01,2025-03-28 05:27:09.813063-07:00
KXMUSKVISIT-25-RUS,2025-06-24 00:00:00+00:00,2025_06_23_close_1700_PT,2025-06-23 17:00:00-07:00,2025-03-25 11:53:00.638752+00:00,0.25,2025-03-25 04:53:00.638752-07:00
KXNOBELPEACE-25-VZEL,2025-06-24 00:00:00+00:00,2025_06_23_close_1700_PT,2025-06-23 17:00:00-07:00,2025-06-23 21:28:28.121245+00:00,0.15,2025-06-23 14:28:28.121245-07:00
KXPOPEVISITNEXT-26-UA,2025-06-24 00:00:00+00:00,2025_06_23_close_1700_PT,2025-06-23 17:00:00-07:00,2025-06-23 16:16:24.671311+00:00,0.11,2025-06-23 09:16:24.671311-07:00
KXPOPEVISITSECOND-26-UA,2025-06-24 00:00:00+00:00,2025_06_23_close_1700_PT,2025-06-23 17:00:00-07:00,,,
KXPRESVISIT-26-RU,2025-06-24 00:00:00+00:00,2025_06_23_close_1700_PT,2025-06-23 17:00:00-07:00,2025-06-23 22:36:59.807859+00:00,0.17,2025-06-23 15:36:59.807859-07:00
KXPRESVISIT-26-UKR,2025-06-24 00:00:00+00:00,2025_06_23_close_1700_PT,2025-06-23 17:00:00-07:00,2025-06-16 13:31:27.962463+00:00,0.15,2025-06-16 06:31:27.962463-07:00
KXSECSTATEVISIT-26-RUS,2025-06-24 00:00:00+00:00,2025_06_23_close_1700_PT,2025-06-23 17:00:00-07:00,2025-06-23 19:16:10.866934+00:00,0.26,2025-06-23 12:16:10.866934-07:00
KXTIMEDECADE20S-30-VZEL,2025-06-24 00:00:00+00:00,2025_06_23_close_1700_PT,2025-06-23 17:00:00-07:00,2025-06-02 19:56:39.708094+00:00,0.11,2025-06-02 12:56:39.708094-07:00
