id,condition_id,question,slug,outcomes,outcome_prices,clob_token_ids,volume,liquidity,active,closed,end_date,created_at,market_maker_address,_fetched_at,created_ts,end_ts,search_text
516715,0x9bacdaac65cbe257e96e58daf343c56879ea9003bdaed7cdb8cfcd1a82121d3a,Ukraine joins NATO in 2025?,ukraine-joins-nato-in-2025,"[""Yes"", ""No""]","[""0"", ""1""]","[""5802460671946751538636185453975614627729230853286731735057811449821051691611"", ""104795148936930645520469554178353538587130154145659561962269514319642274480768""]",245327.51675,0.0,True,True,2025-12-31 04:00:00-08:00,2024-12-29 10:45:23.330261-08:00,,2026-02-03 22:24:59.475633,2024-12-29 10:45:23.330261,2025-12-31 04:00:00,ukraine joins nato in 2025? ukraine-joins-nato-in-2025
516719,0x8ee2f1640386310eb5e7ffa596ba9335f2d324e303d21b0dfea6998874445791,Russia x Ukraine ceasefire in 2025?,russia-x-ukraine-ceasefire-in-2025,"[""Yes"", ""No""]","[""0"", ""1""]","[""15974786252393396629980467963784550802583781222733347534844974829144359265969"", ""42351579455604873042957090441032286075880144797259231030267680078160718556927""]",73752993.267722,0.0,True,True,2025-12-31 04:00:00-08:00,2024-12-29 10:47:35.140745-08:00,,2026-02-03 22:24:59.475633,2024-12-29 10:47:35.140745,2025-12-31 04:00:00,russia x ukraine ceasefire in 2025? russia-x-ukraine-ceasefire-in-2025
517073,0x949052e68f38931266d5d755f89a8cffab18b7837891d018a550457feec2e754,Assad leaves Russia before 2026?,assad-leaves-russia-before-2026,"[""Yes"", ""No""]","[""0"", ""1""]","[""46900460840406661483474634104595482418501684854096906918305683910102403871123"", ""78869803177078589287716771530665317651497156168734051494454473188006845916520""]",61480.487731,0.0,True,True,2025-12-31 04:00:00-08:00,2025-01-02 06:55:56.326639-08:00,,2026-02-03 22:24:59.962244,2025-01-02 06:55:56.326639,2025-12-31 04:00:00,assad leaves russia before 2026? assad-leaves-russia-before-2026
518889,0xc0531ca3aa67e9aec21f8265fdacf39f960c24f3faed1a3e5ac9b4613e6fcd98,Will Donald Trump visit Russia in 2025?,will-donald-trump-visit-russia-in-2025,"[""Yes"", ""No""]","[""0"", ""1""]","[""76417393963448037479806799796874747547221511591996743269503725518742470496274"", ""44380686214454472779171256638293817778327849773706779670665516622038269778385""]",986854.873282,0.0,True,True,2025-12-31 04:00:00-08:00,2025-01-16 09:57:52.426541-08:00,,2026-02-03 22:25:01.425468,2025-01-16 09:57:52.426541,2025-12-31 04:00:00,will donald trump visit russia in 2025? will-donald-trump-visit-russia-in-2025
518890,0x08e4a29cfed319d93843bf78a0953f70c203fdc98051bb4a886483b4cc2ceb8a,Will Donald Trump visit Ukraine in 2025?,will-donald-trump-visit-ukraine-in-2025,"[""Yes"", ""No""]","[""0"", ""1""]","[""1820990530457734990844221236379424325571531338274179313320944848555296238885"", ""19787433176606062103363478006507471735790167880416910771642279209812633663344""]",79206.386456,0.0,True,True,2025-12-31 04:00:00-08:00,2025-01-16 09:58:54.179238-08:00,,2026-02-03 22:25:01.425468,2025-01-16 09:58:54.179238,2025-12-31 04:00:00,will donald trump visit ukraine in 2025? will-donald-trump-visit-ukraine-in-2025
521103,0x07f106c0b60e94d96a63954f0536811c1a0b054b958f26bb749689b620b72f50,NATO/EU troops fighting in Ukraine in 2025?,natoeu-troops-fighting-in-ukraine-in-2025,"[""Yes"", ""No""]","[""0"", ""1""]","[""103909253011351322759892776638669457027523901655815490042130382730360706229706"", ""40643730425995007653653846322257326466291751148478865541862332040512398068473""]",170793.703881,0.0,True,True,2025-12-31 04:00:00-08:00,2025-01-30 16:57:35.244062-08:00,,2026-02-03 22:25:03.257401,2025-01-30 16:57:35.244062,2025-12-31 04:00:00,nato/eu troops fighting in ukraine in 2025? natoeu-troops-fighting-in-ukraine-in-2025
522056,0x07555b0e89abe017ddde72e5d04f26f6b26a7f221cca5fcae54ca99dd984774d,Ukraine agrees not to join NATO in 2025? ,ukraine-agrees-not-to-join-nato-before-july,"[""Yes"", ""No""]","[""0"", ""1""]","[""96601928894191559916157952751631886797424000157973909225754084049773554405468"", ""111817814065148789668110176254570458287510111700931938757952739120253070676417""]",1643257.827825,0.0,True,True,2025-12-31 04:00:00-08:00,2025-02-06 13:55:33.636794-08:00,,2026-02-03 22:25:04.029870,2025-02-06 13:55:33.636794,2025-12-31 04:00:00,ukraine agrees not to join nato in 2025?  ukraine-agrees-not-to-join-nato-before-july
522057,0x591f785022238c7ea2563553d93c024e451a18ea74d9bbd79a6126c0267c588a,"Ukraine recognizes Russian sovereignty over its territory by December 31, 2025?",ukraine-recognizes-russian-sovereignty-over-ukrainian-territory-in-2025,"[""Yes"", ""No""]","[""0"", ""1""]","[""48477409091695386761559202853239391470463303066983260592312960625658563043275"", ""39073221701552764059446410725782004011128353041681427534414147663135223634260""]",2130098.430134,0.0,True,True,2025-12-31 04:00:00-08:00,2025-02-06 14:01:49.644084-08:00,,2026-02-03 22:25:04.029870,2025-02-06 14:01:49.644084,2025-12-31 04:00:00,"ukraine recognizes russian sovereignty over its territory by december 31, 2025? ukraine-recognizes-russian-sovereignty-over-ukrainian-territory-in-2025"
522878,0x0b5d28cc85d295a39897b524329653628d7de3378920ab63247c8af9d7ee03d3,Will Trump meet with Putin or Zelenskyy first?,will-trump-meet-with-putin-or-zelenskyy-first,"[""Putin"", ""Zelenskyy""]","[""0"", ""1""]","[""5442743401928862894180841736263512191564084389996775978514134400673743050598"", ""55264189025055373090161890959631464405045385380191735792739072809428026021736""]",465247.688699,0.0,True,True,2025-12-31 04:00:00-08:00,2025-02-11 10:41:56.219533-08:00,,2026-02-03 22:25:04.398591,2025-02-11 10:41:56.219533,2025-12-31 04:00:00,will trump meet with putin or zelenskyy first? will-trump-meet-with-putin-or-zelenskyy-first
522895,0xe252404a63e04d8199105b91833a47471317be7307e2471a9349375694bc39c8,Will Russia capture Kupiansk by August 31?,will-russia-capture-kupiansk-by-august-31-961-273,"[""Yes"", ""No""]","[""0"", ""1""]","[""62643694748826312587911382162440534823433709821141516597510649054633548502810"", ""66339636783489562244427406324835042611372608866942882907689045655663784195972""]",830318.639654,0.0,True,True,2025-08-31 05:00:00-07:00,2025-02-11 11:13:47.985923-08:00,,2026-02-03 22:25:04.398591,2025-02-11 11:13:47.985923,2025-08-31 05:00:00,will russia capture kupiansk by august 31? will-russia-capture-kupiansk-by-august-31-961-273
523343,0xf3d74c153a35436ff82a5f78200104975c5841140ace763f2954adb340cca511,Ukraine election called in 2025?,ukraine-election-called-in-2025,"[""Yes"", ""No""]","[""0"", ""1""]","[""22255463452594162709449800579658835371746668793825841462318307382376621533755"", ""57160884655103428512814247631012981773015723019889832549493437551469480061242""]",982716.694339,0.0,True,True,2025-12-31 04:00:00-08:00,2025-02-13 11:39:17.849008-08:00,,2026-02-03 22:25:05.015331,2025-02-13 11:39:17.849008,2025-12-31 04:00:00,ukraine election called in 2025? ukraine-election-called-in-2025
523413,0x1b74c3efe140a09049e0eb6b6a2112e00fa4d199cdc718c1a58af1abf6d9e49d,Will any country leave NATO in 2025?,will-any-country-leave-nato-in-2025,"[""Yes"", ""No""]","[""0"", ""1""]","[""46975241878566226675389813084558441099978633579735672808077735156890286559886"", ""4274339277583331170231436480507835882687434608350779078862983050349942696879""]",277041.272422,0.0,True,True,2025-12-31 04:00:00-08:00,2025-02-13 14:27:44.964669-08:00,,2026-02-03 22:25:05.015331,2025-02-13 14:27:44.964669,2025-12-31 04:00:00,will any country leave nato in 2025? will-any-country-leave-nato-in-2025
523420,0x9388fd0115ced362ce81ba2d3433903f2ae5c78263355d7038ae74ac96c85ac1,"Ukraine election held by December 31, 2025?",ukraine-election-held-in-2025,"[""Yes"", ""No""]","[""0"", ""1""]","[""110303218457795832861589414223072133732424840017074962598980991451216787898529"", ""110513468504414111967623727967802735681305040958967125800368195228103949451183""]",1589428.067032,0.0,True,True,2025-12-31 04:00:00-08:00,2025-02-13 15:40:57.211688-08:00,,2026-02-03 22:25:05.015331,2025-02-13 15:40:57.211688,2025-12-31 04:00:00,"ukraine election held by december 31, 2025? ukraine-election-held-in-2025"
524021,0x79fe1c0701d145ed4b74e6b7b3658acbc9b016b70e7321afdb777ad14e8c236c,U.S. recognizes Russian sovereignty over Crimea in 2025? ,will-the-us-recognize-russian-sovereignty-over-crimea-in-2025,"[""Yes"", ""No""]","[""0"", ""1""]","[""97262919156133260921887403057581420516585464065308475066791456615017669503669"", ""22814991468805556116471270417641782171550309851492637070422109257339804109572""]",801266.380276,0.0,True,True,2025-12-31 04:00:00-08:00,2025-02-18 12:42:06.673333-08:00,,2026-02-03 22:25:05.501235,2025-02-18 12:42:06.673333,2025-12-31 04:00:00,u.s. recognizes russian sovereignty over crimea in 2025?  will-the-us-recognize-russian-sovereignty-over-crimea-in-2025
524147,0x83769fd5022537ff59ca1ccfdfb1c9915983788003e00e905508e22e67404f28,Will Trump meet with Volodymyr Zelenskyy in 2025?,will-trump-meet-with-volodymyr-zelenskyy-in-2025,"[""Yes"", ""No""]","[""1"", ""0""]","[""43469326409739858395690572881501444443817974097672167644298447954120789600137"", ""6436214359665115810717148929293436681245885613476937891713590935932389735242""]",129300.49074,0.0,True,True,2025-12-31 04:00:00-08:00,2025-02-19 11:49:57.167284-08:00,,2026-02-03 22:25:06.020964,2025-02-19 11:49:57.167284,2025-12-31 04:00:00,will trump meet with volodymyr zelenskyy in 2025? will-trump-meet-with-volodymyr-zelenskyy-in-2025
